Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
5,4,4,9,yes,yes,python,data science,medium,excellent,Software Engineering,security,SAaS services,no,Autobiographies,Technical,hard worker,no,yes,UX Designer
9,3,7,5,no,yes,full stack,game development,poor,poor,cloud computing,developer,Web Services,no,Comics,Technical,hard worker,no,no,UX Designer
2,5,6,4,no,yes,r programming,testing,poor,excellent,data engineering,cloud computing,Finance,yes,Comics,Management,smart worker,no,no,UX Designer
2,6,3,5,no,no,shell programming,system designing,poor,excellent,networks,system developer,Sales and Marketing,no,Religion-Spirituality,Management,hard worker,no,no,UX Designer
5,4,8,5,yes,yes,python,web technologies,medium,poor,networks,Business process analyst,Product based,no,Journals,Technical,smart worker,no,yes,UX Designer
4,5,8,4,yes,no,shell programming,game development,poor,poor,Software Engineering,system developer,Product based,no,Science,Management,hard worker,no,no,UX Designer
9,6,2,5,yes,no,full stack,hacking,excellent,medium,parallel computing,Business process analyst,BPA,no,Satire,Management,smart worker,no,yes,UX Designer
8,1,7,9,no,no,machine learning,hacking,excellent,excellent,networks,security,BPA,no,Health,Management,smart worker,no,no,UX Designer
5,2,8,9,yes,no,information security,testing,excellent,poor,Management,security,Product based,yes,Action and Adventure,Technical,smart worker,yes,yes,UX Designer
8,5,2,5,no,no,full stack,data science,medium,medium,hacking,system developer,Cloud Services,no,Math,Technical,smart worker,no,no,UX Designer
2,6,9,6,no,yes,shell programming,system designing,excellent,poor,networks,testing,Service Based,yes,Poetry,Technical,smart worker,yes,yes,UX Designer
2,3,7,4,no,no,app development,system designing,excellent,medium,programming,developer,Sales and Marketing,no,Self help,Technical,hard worker,no,yes,UX Designer
3,4,8,7,yes,yes,r programming,data science,poor,excellent,data engineering,developer,Service Based,yes,Self help,Technical,hard worker,no,yes,UX Designer
1,0,7,6,yes,yes,shell programming,testing,excellent,excellent,data engineering,security,Service Based,no,Poetry,Technical,smart worker,no,no,UX Designer
8,1,2,4,yes,no,full stack,system designing,excellent,medium,Software Engineering,Business process analyst,BPA,no,Math,Technical,smart worker,no,yes,UX Designer
3,3,6,2,no,yes,shell programming,cloud computing,excellent,poor,Software Engineering,testing,SAaS services,no,Cookbooks,Technical,hard worker,no,no,UX Designer
1,5,4,9,no,yes,information security,data science,excellent,excellent,networks,cloud computing,product development,yes,Science,Management,smart worker,no,no,UX Designer
6,6,8,4,no,yes,machine learning,testing,medium,poor,Computer Architecture,security,Web Services,yes,Series,Management,hard worker,yes,yes,UX Designer
2,3,6,9,yes,yes,machine learning,cloud computing,medium,medium,IOT,testing,Testing and Maintainance Services,no,Childrens,Management,hard worker,no,yes,UX Designer
5,3,4,1,no,yes,app development,game development,excellent,medium,programming,security,Sales and Marketing,yes,Math,Management,smart worker,no,no,UX Designer
4,0,4,8,yes,no,machine learning,game development,excellent,excellent,IOT,developer,Finance,yes,Science,Technical,hard worker,no,no,UX Designer
2,5,1,9,no,yes,machine learning,cloud computing,poor,poor,Software Engineering,testing,Sales and Marketing,yes,Trilogy,Technical,smart worker,no,yes,UX Designer
4,5,9,5,yes,no,full stack,hacking,medium,excellent,programming,cloud computing,BPA,yes,Self help,Technical,hard worker,yes,no,UX Designer
9,5,5,9,yes,no,distro making,testing,excellent,poor,programming,security,Testing and Maintainance Services,yes,Trilogy,Management,hard worker,no,yes,UX Designer
9,3,5,1,no,yes,full stack,web technologies,excellent,medium,parallel computing,system developer,Product based,no,Comics,Management,hard worker,no,yes,UX Designer
3,3,9,1,no,yes,distro making,game development,poor,poor,cloud computing,security,SAaS services,yes,Travel,Technical,smart worker,no,no,UX Designer
8,4,1,1,no,no,shell programming,cloud computing,excellent,poor,IOT,cloud computing,Service Based,no,Horror,Management,smart worker,yes,yes,UX Designer
5,4,9,4,no,yes,full stack,web technologies,excellent,poor,programming,cloud computing,Testing and Maintainance Services,yes,Comics,Technical,hard worker,no,no,UX Designer
6,1,4,7,yes,no,hadoop,hacking,medium,poor,hacking,testing,product development,yes,Fantasy,Management,smart worker,yes,no,UX Designer
2,2,2,1,yes,no,distro making,system designing,excellent,excellent,programming,cloud computing,Product based,yes,Horror,Technical,hard worker,yes,no,UX Designer
9,2,4,8,no,yes,r programming,testing,medium,poor,parallel computing,testing,Testing and Maintainance Services,no,Science fiction,Technical,hard worker,no,no,UX Designer
5,0,8,8,no,yes,full stack,web technologies,medium,poor,IOT,security,Cloud Services,no,Self help,Management,smart worker,yes,yes,UX Designer
7,3,7,1,yes,no,shell programming,data science,poor,excellent,programming,Business process analyst,BPA,no,Prayer books,Technical,smart worker,no,no,UX Designer
1,4,7,3,yes,no,shell programming,web technologies,medium,excellent,programming,testing,Testing and Maintainance Services,yes,Health,Technical,smart worker,yes,no,UX Designer
7,4,8,3,yes,no,distro making,game development,poor,poor,parallel computing,developer,Testing and Maintainance Services,yes,Religion-Spirituality,Technical,smart worker,yes,yes,UX Designer
6,4,5,8,yes,no,shell programming,web technologies,excellent,medium,Software Engineering,testing,BPA,yes,Health,Management,hard worker,yes,no,UX Designer
4,4,6,4,yes,yes,machine learning,cloud computing,poor,poor,parallel computing,system developer,SAaS services,yes,Series,Technical,hard worker,no,yes,UX Designer
5,5,2,2,no,no,information security,game development,poor,excellent,parallel computing,cloud computing,Web Services,no,Horror,Management,hard worker,yes,no,UX Designer
5,1,7,6,no,no,machine learning,system designing,poor,medium,networks,cloud computing,Web Services,no,Guide,Management,smart worker,yes,no,UX Designer
8,0,2,6,no,yes,shell programming,hacking,medium,poor,cloud computing,Business process analyst,Finance,yes,Comics,Management,smart worker,yes,no,UX Designer
2,5,7,5,no,no,hadoop,web technologies,excellent,poor,networks,security,BPA,no,Childrens,Technical,hard worker,no,no,UX Designer
9,5,8,7,no,yes,information security,game development,medium,poor,parallel computing,cloud computing,Finance,no,Encyclopedias,Technical,hard worker,yes,no,UX Designer
1,3,8,9,no,no,full stack,hacking,medium,excellent,data engineering,testing,Service Based,no,Encyclopedias,Technical,smart worker,no,no,UX Designer
4,3,4,2,no,no,hadoop,hacking,medium,medium,hacking,Business process analyst,product development,yes,Guide,Technical,hard worker,no,yes,UX Designer
7,2,6,8,no,no,full stack,system designing,poor,excellent,programming,testing,Web Services,yes,Satire,Technical,hard worker,no,yes,UX Designer
3,4,9,7,no,no,app development,hacking,excellent,medium,Software Engineering,developer,Finance,yes,Series,Technical,smart worker,no,no,UX Designer
1,3,1,8,yes,no,full stack,web technologies,excellent,poor,IOT,Business process analyst,Finance,yes,Series,Technical,hard worker,yes,yes,UX Designer
5,2,9,7,yes,yes,machine learning,game development,medium,excellent,hacking,Business process analyst,Cloud Services,yes,Satire,Management,smart worker,yes,no,UX Designer
2,5,7,1,no,no,distro making,web technologies,excellent,excellent,hacking,developer,product development,yes,Fantasy,Management,hard worker,no,yes,UX Designer
6,1,5,1,yes,yes,hadoop,database security,excellent,excellent,Software Engineering,testing,BPA,no,Comics,Technical,hard worker,no,yes,UX Designer
1,2,5,6,yes,no,app development,hacking,poor,medium,Computer Architecture,testing,Product based,no,Satire,Management,smart worker,yes,no,UX Designer
9,3,5,3,no,no,hadoop,hacking,poor,excellent,Management,system developer,Web Services,yes,Religion-Spirituality,Management,hard worker,yes,no,UX Designer
1,1,1,3,yes,no,machine learning,game development,poor,medium,cloud computing,developer,product development,yes,Anthology,Management,smart worker,yes,yes,UX Designer
2,0,1,8,no,yes,full stack,system designing,poor,poor,Computer Architecture,developer,Cloud Services,no,Autobiographies,Technical,hard worker,yes,no,UX Designer
2,4,9,5,yes,no,full stack,web technologies,excellent,medium,hacking,testing,Web Services,yes,Journals,Management,hard worker,yes,yes,UX Designer
2,3,3,5,no,yes,python,database security,medium,poor,cloud computing,developer,Service Based,no,Mystery,Management,hard worker,no,no,UX Designer
3,5,8,8,yes,no,app development,hacking,poor,excellent,parallel computing,testing,SAaS services,yes,Romance,Technical,hard worker,no,yes,UX Designer
8,4,7,7,yes,no,r programming,cloud computing,medium,excellent,Computer Architecture,developer,Testing and Maintainance Services,no,Science fiction,Technical,smart worker,yes,no,UX Designer
9,2,7,7,yes,yes,shell programming,data science,medium,excellent,programming,developer,Finance,no,Series,Management,smart worker,no,yes,UX Designer
4,4,4,2,yes,no,distro making,database security,medium,excellent,data engineering,developer,product development,no,Fantasy,Technical,smart worker,no,no,UX Designer
2,1,4,3,no,yes,information security,hacking,excellent,medium,parallel computing,Business process analyst,Web Services,no,Science fiction,Management,smart worker,no,yes,UX Designer
3,0,1,4,no,yes,machine learning,web technologies,medium,medium,Management,system developer,Web Services,no,Autobiographies,Management,hard worker,yes,no,UX Designer
4,3,7,5,yes,yes,distro making,testing,poor,medium,Management,security,Service Based,yes,Diaries,Technical,smart worker,yes,no,UX Designer
3,4,2,9,no,no,python,hacking,excellent,excellent,Management,cloud computing,Service Based,no,Cookbooks,Technical,smart worker,no,no,UX Designer
5,6,9,6,no,yes,r programming,system designing,medium,poor,data engineering,system developer,Sales and Marketing,no,Dictionaries,Technical,hard worker,no,no,UX Designer
2,3,5,2,no,yes,r programming,hacking,excellent,excellent,Software Engineering,security,Sales and Marketing,no,Dictionaries,Technical,smart worker,yes,no,UX Designer
4,5,5,7,yes,yes,r programming,cloud computing,medium,medium,Management,Business process analyst,Web Services,no,Autobiographies,Technical,hard worker,yes,no,UX Designer
4,0,2,1,no,yes,distro making,data science,poor,excellent,IOT,security,Cloud Services,yes,Horror,Management,hard worker,no,yes,UX Designer
7,3,8,6,no,no,shell programming,game development,excellent,poor,programming,developer,Product based,yes,Health,Management,hard worker,no,yes,UX Designer
6,4,3,6,yes,yes,distro making,data science,excellent,poor,Computer Architecture,developer,Product based,yes,Travel,Technical,smart worker,yes,yes,UX Designer
2,1,2,3,no,no,python,web technologies,poor,medium,Computer Architecture,security,Service Based,no,Autobiographies,Management,smart worker,no,yes,UX Designer
1,2,1,5,yes,yes,shell programming,system designing,excellent,poor,programming,system developer,SAaS services,no,Fantasy,Technical,smart worker,no,yes,UX Designer
1,6,9,8,no,yes,distro making,game development,medium,poor,hacking,testing,Product based,no,Horror,Technical,hard worker,no,no,UX Designer
5,2,6,5,no,yes,r programming,hacking,poor,excellent,hacking,testing,Finance,no,Dictionaries,Management,smart worker,no,yes,UX Designer
9,4,8,9,no,yes,r programming,data science,poor,poor,Software Engineering,Business process analyst,Product based,yes,Fantasy,Management,hard worker,no,no,UX Designer
4,3,7,7,yes,yes,python,web technologies,poor,poor,data engineering,security,Testing and Maintainance Services,yes,Travel,Technical,smart worker,yes,yes,UX Designer
9,3,7,1,yes,no,information security,system designing,medium,medium,cloud computing,security,SAaS services,yes,Dictionaries,Management,smart worker,yes,yes,UX Designer
6,3,8,6,yes,yes,information security,data science,excellent,poor,networks,Business process analyst,Cloud Services,yes,Trilogy,Technical,smart worker,no,no,UX Designer
5,5,8,2,no,yes,shell programming,data science,medium,medium,programming,cloud computing,Sales and Marketing,yes,Science,Technical,smart worker,yes,yes,UX Designer
2,0,1,8,no,no,information security,testing,medium,poor,cloud computing,system developer,Finance,no,Health,Management,hard worker,no,yes,UX Designer
4,6,8,6,no,yes,r programming,web technologies,excellent,excellent,hacking,system developer,Finance,no,Dictionaries,Management,smart worker,yes,no,UX Designer
9,1,3,7,no,no,r programming,testing,medium,poor,Management,system developer,Testing and Maintainance Services,yes,Action and Adventure,Technical,smart worker,yes,no,UX Designer
9,1,3,9,no,no,machine learning,data science,poor,medium,networks,developer,SAaS services,yes,Science,Management,smart worker,no,no,UX Designer
5,4,9,3,yes,yes,shell programming,system designing,excellent,excellent,Management,cloud computing,Product based,yes,Art,Technical,smart worker,yes,no,UX Designer
7,4,6,2,yes,no,full stack,system designing,excellent,excellent,hacking,Business process analyst,product development,no,Health,Technical,smart worker,yes,no,UX Designer
8,1,7,7,yes,no,full stack,web technologies,poor,medium,programming,developer,Finance,no,Series,Technical,hard worker,yes,yes,UX Designer
3,2,5,2,no,yes,r programming,game development,excellent,excellent,data engineering,Business process analyst,Service Based,no,Action and Adventure,Technical,smart worker,no,yes,UX Designer
2,0,2,1,yes,yes,distro making,testing,medium,poor,Computer Architecture,cloud computing,Service Based,yes,Anthology,Technical,hard worker,yes,yes,UX Designer
5,3,4,9,no,yes,hadoop,database security,excellent,excellent,Computer Architecture,developer,Product based,yes,Horror,Technical,smart worker,no,no,UX Designer
3,6,4,7,yes,no,distro making,system designing,medium,excellent,programming,security,product development,yes,Anthology,Management,smart worker,no,yes,UX Designer
9,1,4,6,yes,no,python,testing,poor,poor,networks,system developer,Service Based,yes,Horror,Technical,smart worker,no,no,UX Designer
6,0,9,9,yes,no,app development,testing,poor,excellent,programming,Business process analyst,Testing and Maintainance Services,yes,Satire,Management,smart worker,no,no,UX Designer
6,1,2,8,yes,no,information security,database security,excellent,excellent,cloud computing,system developer,SAaS services,no,Cookbooks,Management,smart worker,yes,yes,UX Designer
9,6,3,1,yes,no,information security,game development,excellent,poor,networks,system developer,Service Based,yes,Romance,Technical,hard worker,yes,yes,UX Designer
8,6,3,7,yes,yes,machine learning,testing,medium,excellent,Computer Architecture,testing,Web Services,no,Guide,Technical,smart worker,yes,yes,UX Designer
7,6,6,1,no,no,python,hacking,medium,poor,cloud computing,cloud computing,Service Based,no,Biographies,Technical,hard worker,yes,yes,UX Designer
1,0,3,5,no,yes,shell programming,web technologies,poor,medium,Computer Architecture,testing,Finance,yes,Guide,Technical,smart worker,yes,yes,UX Designer
7,0,6,6,no,yes,distro making,testing,medium,poor,Management,developer,Finance,yes,Poetry,Management,hard worker,no,yes,UX Designer
9,2,8,4,yes,no,information security,game development,poor,excellent,networks,developer,BPA,no,Health,Technical,hard worker,no,no,UX Designer
3,0,9,1,no,no,python,hacking,excellent,medium,data engineering,Business process analyst,Service Based,no,Travel,Management,smart worker,no,yes,UX Designer
9,2,2,3,no,yes,machine learning,data science,excellent,medium,IOT,security,BPA,no,Comics,Technical,hard worker,yes,no,UX Designer
2,6,9,5,no,yes,machine learning,testing,poor,medium,programming,security,product development,no,Biographies,Technical,hard worker,yes,no,UX Designer
2,4,3,2,no,no,python,testing,poor,medium,Computer Architecture,system developer,Testing and Maintainance Services,yes,Encyclopedias,Management,hard worker,no,yes,UX Designer
1,0,7,4,no,yes,app development,game development,medium,excellent,hacking,testing,BPA,yes,Health,Technical,smart worker,no,yes,UX Designer
1,0,4,3,no,no,hadoop,data science,medium,poor,IOT,Business process analyst,product development,no,Biographies,Management,smart worker,yes,yes,UX Designer
1,0,4,6,yes,yes,python,system designing,poor,excellent,cloud computing,system developer,Sales and Marketing,no,Drama,Technical,smart worker,yes,no,UX Designer
3,2,4,6,no,no,full stack,hacking,poor,excellent,Software Engineering,developer,BPA,yes,Biographies,Management,hard worker,yes,yes,UX Designer
7,1,9,5,no,no,shell programming,data science,excellent,poor,programming,system developer,BPA,no,Biographies,Management,smart worker,no,yes,UX Designer
1,3,7,8,no,no,shell programming,data science,excellent,medium,Computer Architecture,system developer,Finance,no,Guide,Management,smart worker,yes,no,UX Designer
1,3,8,4,yes,yes,machine learning,cloud computing,poor,excellent,networks,developer,Product based,yes,Art,Technical,smart worker,yes,yes,UX Designer
6,2,5,4,yes,yes,distro making,web technologies,medium,excellent,cloud computing,system developer,BPA,yes,Religion-Spirituality,Management,hard worker,no,yes,UX Designer
8,0,6,6,yes,yes,full stack,data science,excellent,poor,cloud computing,system developer,Web Services,no,Prayer books,Management,smart worker,yes,no,UX Designer
6,3,7,5,yes,yes,information security,data science,medium,medium,cloud computing,cloud computing,Web Services,yes,Art,Management,hard worker,no,yes,UX Designer
7,5,3,3,yes,no,shell programming,testing,excellent,medium,hacking,Business process analyst,Web Services,yes,Science fiction,Management,smart worker,no,yes,UX Designer
4,3,5,8,no,no,r programming,testing,excellent,medium,hacking,system developer,Sales and Marketing,no,Science fiction,Technical,hard worker,yes,yes,UX Designer
7,2,6,1,no,no,machine learning,database security,excellent,medium,IOT,developer,Web Services,yes,Religion-Spirituality,Technical,hard worker,yes,no,UX Designer
3,3,8,2,no,yes,r programming,cloud computing,excellent,medium,networks,cloud computing,SAaS services,no,Trilogy,Management,smart worker,no,yes,UX Designer
8,4,7,5,no,no,shell programming,web technologies,poor,poor,Computer Architecture,Business process analyst,Product based,yes,Health,Management,hard worker,yes,no,UX Designer
8,3,2,7,yes,yes,python,system designing,poor,poor,data engineering,testing,Finance,yes,Childrens,Management,hard worker,yes,no,UX Designer
8,2,5,2,yes,yes,distro making,data science,excellent,medium,parallel computing,Business process analyst,Sales and Marketing,no,Trilogy,Management,smart worker,no,yes,UX Designer
9,4,8,9,no,yes,hadoop,database security,poor,excellent,Software Engineering,Business process analyst,Product based,yes,Fantasy,Technical,smart worker,yes,no,UX Designer
1,2,5,2,yes,no,shell programming,database security,excellent,excellent,hacking,Business process analyst,Testing and Maintainance Services,no,Drama,Management,smart worker,no,yes,UX Designer
4,5,4,9,yes,no,information security,game development,poor,poor,networks,system developer,Testing and Maintainance Services,yes,Anthology,Management,hard worker,no,no,UX Designer
1,0,6,6,no,yes,full stack,cloud computing,poor,medium,Management,testing,Web Services,yes,Biographies,Technical,smart worker,no,yes,UX Designer
5,1,4,4,no,no,full stack,data science,excellent,poor,data engineering,system developer,Product based,no,Journals,Management,hard worker,yes,no,UX Designer
4,6,6,7,no,yes,machine learning,database security,medium,poor,cloud computing,system developer,Finance,no,Mystery,Management,smart worker,no,yes,UX Designer
7,3,7,3,no,no,hadoop,system designing,excellent,medium,Management,cloud computing,Service Based,no,Science fiction,Management,hard worker,no,no,UX Designer
7,5,4,8,no,yes,python,data science,poor,medium,IOT,developer,Sales and Marketing,yes,Childrens,Management,hard worker,yes,no,UX Designer
3,1,3,9,yes,no,shell programming,system designing,medium,excellent,Computer Architecture,cloud computing,Sales and Marketing,yes,Diaries,Management,smart worker,yes,yes,UX Designer
8,1,4,2,no,no,full stack,database security,excellent,excellent,data engineering,Business process analyst,Sales and Marketing,yes,Comics,Management,hard worker,no,no,UX Designer
5,0,6,9,no,no,shell programming,data science,poor,medium,Computer Architecture,security,product development,yes,History,Technical,hard worker,yes,no,UX Designer
1,6,5,3,no,no,python,testing,poor,excellent,data engineering,testing,Web Services,no,Mystery,Management,smart worker,no,no,UX Designer
8,2,5,4,yes,no,r programming,database security,excellent,poor,Management,security,Sales and Marketing,yes,Romance,Technical,smart worker,yes,no,UX Designer
1,4,6,9,yes,yes,machine learning,database security,medium,poor,Software Engineering,Business process analyst,BPA,no,Anthology,Management,smart worker,yes,yes,UX Designer
2,2,1,7,no,no,machine learning,database security,excellent,excellent,Computer Architecture,system developer,product development,no,Prayer books,Technical,smart worker,no,no,UX Designer
3,6,6,7,yes,no,hadoop,system designing,medium,excellent,hacking,testing,Finance,no,Religion-Spirituality,Management,smart worker,no,yes,UX Designer
3,0,4,1,yes,yes,python,hacking,excellent,excellent,cloud computing,developer,product development,no,Poetry,Technical,smart worker,no,no,UX Designer
1,3,6,5,yes,no,app development,database security,medium,excellent,Computer Architecture,testing,Web Services,no,Trilogy,Technical,smart worker,yes,no,UX Designer
2,0,2,4,yes,yes,shell programming,database security,excellent,medium,IOT,cloud computing,Web Services,no,Mystery,Management,smart worker,no,no,UX Designer
2,1,1,9,no,yes,hadoop,data science,excellent,medium,IOT,testing,Sales and Marketing,yes,Self help,Technical,smart worker,yes,yes,UX Designer
1,5,2,9,yes,yes,r programming,testing,excellent,medium,programming,testing,product development,yes,Guide,Technical,hard worker,yes,yes,UX Designer
3,2,3,8,no,yes,python,cloud computing,excellent,excellent,networks,security,product development,yes,Health,Technical,hard worker,yes,no,UX Designer
1,0,5,1,no,yes,python,game development,excellent,medium,programming,Business process analyst,Service Based,yes,Horror,Technical,hard worker,no,no,UX Designer
9,4,6,4,yes,yes,full stack,web technologies,poor,poor,Management,system developer,Web Services,yes,Cookbooks,Management,hard worker,no,no,UX Designer
9,1,9,7,no,no,app development,data science,excellent,poor,cloud computing,testing,Cloud Services,no,Drama,Technical,smart worker,no,no,UX Designer
6,4,9,3,no,no,full stack,database security,poor,excellent,networks,system developer,SAaS services,no,Guide,Management,hard worker,yes,no,UX Designer
2,6,1,7,no,yes,python,game development,medium,excellent,cloud computing,system developer,Web Services,no,Science,Technical,smart worker,yes,no,UX Designer
9,4,8,3,no,no,machine learning,game development,poor,excellent,Software Engineering,security,Product based,no,Art,Technical,smart worker,yes,yes,UX Designer
7,0,4,8,no,yes,python,web technologies,excellent,medium,programming,cloud computing,product development,no,Trilogy,Technical,smart worker,yes,no,UX Designer
1,5,2,8,yes,no,r programming,testing,excellent,excellent,Computer Architecture,security,Sales and Marketing,no,Autobiographies,Technical,smart worker,no,yes,UX Designer
2,2,2,9,yes,yes,hadoop,cloud computing,poor,medium,cloud computing,testing,Sales and Marketing,yes,History,Management,smart worker,no,yes,UX Designer
7,3,2,5,no,yes,app development,game development,medium,poor,Computer Architecture,cloud computing,Product based,yes,Childrens,Management,smart worker,no,yes,UX Designer
4,3,3,3,yes,no,full stack,testing,medium,poor,programming,Business process analyst,Cloud Services,yes,Drama,Technical,smart worker,yes,no,UX Designer
7,6,3,4,yes,yes,app development,database security,excellent,excellent,Management,developer,BPA,yes,Drama,Management,smart worker,yes,no,UX Designer
5,2,1,3,no,no,machine learning,hacking,excellent,poor,IOT,developer,Testing and Maintainance Services,yes,History,Technical,smart worker,yes,no,UX Designer
1,5,2,8,yes,yes,app development,game development,poor,medium,programming,cloud computing,Service Based,yes,Horror,Technical,smart worker,yes,yes,UX Designer
3,0,5,8,yes,no,information security,data science,excellent,poor,Software Engineering,developer,Testing and Maintainance Services,no,Science,Technical,smart worker,yes,yes,UX Designer
4,3,6,2,yes,yes,python,database security,medium,excellent,Computer Architecture,security,Service Based,no,Romance,Management,smart worker,no,yes,UX Designer
7,3,8,3,no,no,app development,hacking,excellent,medium,IOT,testing,Service Based,yes,Science fiction,Technical,smart worker,yes,no,UX Designer
7,3,8,5,yes,no,python,web technologies,medium,excellent,Software Engineering,security,BPA,no,Biographies,Technical,hard worker,no,no,UX Designer
5,0,4,2,no,yes,full stack,system designing,poor,poor,Computer Architecture,developer,Web Services,yes,Health,Management,hard worker,yes,no,UX Designer
3,1,6,3,yes,no,shell programming,hacking,excellent,poor,IOT,system developer,SAaS services,no,Action and Adventure,Management,smart worker,yes,no,UX Designer
3,0,4,5,no,no,app development,game development,poor,medium,programming,developer,SAaS services,no,Poetry,Technical,hard worker,yes,yes,UX Designer
8,3,3,5,no,no,python,testing,excellent,medium,hacking,testing,product development,yes,Poetry,Management,smart worker,no,yes,UX Designer
9,0,1,9,yes,yes,machine learning,game development,medium,excellent,IOT,Business process analyst,BPA,no,Trilogy,Technical,hard worker,no,yes,UX Designer
9,2,7,1,yes,no,app development,system designing,medium,medium,Management,security,product development,yes,Guide,Technical,smart worker,no,yes,UX Designer
9,3,5,1,no,yes,shell programming,testing,medium,medium,programming,testing,Cloud Services,yes,Encyclopedias,Management,hard worker,no,no,UX Designer
8,0,7,4,yes,yes,full stack,database security,excellent,excellent,cloud computing,security,Web Services,yes,Fantasy,Technical,smart worker,yes,no,UX Designer
9,6,1,7,no,yes,shell programming,testing,excellent,medium,hacking,security,Web Services,yes,Action and Adventure,Technical,smart worker,yes,no,UX Designer
7,4,1,2,yes,yes,machine learning,cloud computing,excellent,excellent,cloud computing,security,product development,no,Drama,Management,hard worker,no,no,UX Designer
6,4,7,9,no,yes,machine learning,database security,excellent,medium,programming,testing,Cloud Services,yes,Health,Technical,smart worker,no,yes,UX Designer
7,6,5,8,yes,yes,information security,system designing,medium,excellent,networks,testing,Testing and Maintainance Services,no,Childrens,Technical,hard worker,no,no,Web Developer
7,5,5,4,no,yes,app development,hacking,medium,medium,IOT,developer,Sales and Marketing,yes,Mystery,Technical,hard worker,yes,yes,Web Developer
3,1,2,6,no,no,app development,testing,excellent,poor,networks,Business process analyst,Cloud Services,no,Journals,Management,smart worker,yes,yes,Web Developer
7,1,3,5,yes,no,python,database security,poor,poor,hacking,cloud computing,Product based,no,Self help,Management,hard worker,yes,yes,Web Developer
4,5,5,2,yes,yes,hadoop,web technologies,poor,medium,IOT,security,BPA,no,Action and Adventure,Management,smart worker,yes,yes,Web Developer
4,0,3,1,no,no,shell programming,testing,excellent,medium,cloud computing,system developer,Cloud Services,no,Guide,Management,hard worker,no,no,Web Developer
5,2,5,4,no,no,information security,database security,medium,excellent,hacking,system developer,Product based,yes,Horror,Technical,smart worker,no,yes,Web Developer
7,3,9,7,no,no,app development,web technologies,excellent,poor,data engineering,Business process analyst,Web Services,no,Guide,Management,hard worker,no,no,Web Developer
8,1,4,2,yes,no,information security,data science,medium,medium,cloud computing,Business process analyst,Finance,yes,Guide,Management,smart worker,yes,yes,Web Developer
4,5,8,3,no,yes,machine learning,data science,medium,poor,IOT,testing,BPA,yes,Health,Management,hard worker,yes,no,Web Developer
4,1,9,6,yes,yes,information security,hacking,excellent,poor,data engineering,security,Finance,no,Anthology,Technical,hard worker,no,no,Web Developer
6,2,7,7,no,yes,app development,hacking,medium,excellent,Computer Architecture,cloud computing,Web Services,yes,Journals,Technical,smart worker,no,yes,Web Developer
8,3,9,5,no,no,full stack,testing,medium,poor,data engineering,Business process analyst,Cloud Services,no,Action and Adventure,Technical,hard worker,no,no,Web Developer
9,6,6,6,yes,no,distro making,hacking,poor,medium,Computer Architecture,system developer,BPA,yes,Travel,Management,smart worker,yes,yes,Web Developer
7,4,9,1,no,no,python,system designing,poor,excellent,data engineering,security,Web Services,yes,Guide,Management,smart worker,no,yes,Web Developer
2,5,5,9,no,yes,r programming,database security,medium,excellent,parallel computing,cloud computing,SAaS services,no,Science fiction,Management,smart worker,no,no,Web Developer
6,2,1,7,yes,no,information security,testing,medium,medium,Computer Architecture,Business process analyst,Sales and Marketing,yes,Religion-Spirituality,Technical,hard worker,yes,no,Web Developer
8,3,4,4,no,no,information security,hacking,medium,poor,IOT,Business process analyst,Finance,yes,Health,Management,hard worker,no,no,Web Developer
4,4,1,8,no,yes,machine learning,hacking,poor,medium,Software Engineering,system developer,Testing and Maintainance Services,yes,Action and Adventure,Technical,hard worker,no,no,Web Developer
5,1,3,1,no,no,machine learning,hacking,excellent,poor,Software Engineering,security,Product based,no,Self help,Technical,smart worker,no,yes,Web Developer
6,5,8,9,no,no,machine learning,cloud computing,excellent,excellent,Software Engineering,system developer,SAaS services,no,Science fiction,Technical,hard worker,yes,yes,Web Developer
7,6,9,1,yes,no,distro making,data science,medium,medium,IOT,Business process analyst,Cloud Services,yes,Self help,Technical,hard worker,no,yes,Web Developer
8,5,2,2,no,no,hadoop,testing,poor,medium,data engineering,Business process analyst,SAaS services,no,Travel,Technical,hard worker,no,yes,Web Developer
6,6,5,3,yes,no,full stack,hacking,poor,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,no,Guide,Management,smart worker,yes,no,Web Developer
2,6,5,8,yes,no,shell programming,data science,poor,excellent,programming,cloud computing,Product based,no,Autobiographies,Technical,smart worker,no,no,Web Developer
2,4,8,2,yes,no,app development,web technologies,medium,excellent,hacking,system developer,Service Based,yes,Science,Technical,hard worker,yes,yes,Web Developer
9,0,9,2,yes,yes,shell programming,testing,poor,medium,Software Engineering,cloud computing,Testing and Maintainance Services,yes,Guide,Technical,hard worker,no,yes,Web Developer
8,6,9,7,no,no,hadoop,testing,poor,excellent,Software Engineering,security,Testing and Maintainance Services,yes,Childrens,Technical,smart worker,no,yes,Web Developer
6,0,6,5,no,no,full stack,cloud computing,poor,medium,parallel computing,Business process analyst,BPA,yes,Self help,Technical,smart worker,yes,no,Web Developer
